Review_ID,Position_ID,Priority,Reason,Title,Organization,Location,Salary,Starting_Date,Description,ML_Graduate_Position,ML_Grad_Confidence,ML_Position_Type,ML_Discipline,ML_Discipline_Confidence,ML_University,ML_Big10,Human_Graduate_Position,Human_Position_Type,Human_Discipline,Human_University,Human_Big10,Notes,Confidence
14,2b59d196-6336-4f87-90e4-962ce21669ba,1,Unknown Discipline,Biological Science Technician (Wildlife),USDA Wildlife Services (Federal),"Homestead Air Reserve Base (Homestead, Florida)","$40,332 to $62,244 per year",after 9/1/2025,"Biological Science Technician (Wildlife)
USDA Wildlife Services (Federal)
Details
Application Deadline:
07/25/2025
Published:
07/22/2025
Starting Date:
after 9/1/2025
Hours per Week:
40
Salary:
$40,332 to $62,244 per year
Education Required:
High School Diploma
Experience Required:
none
Location:
Homestead Air Reserve Base (Homestead, Florida)
Description
OPEN DATE: 07/17/2025
CLOSING DATE: 07/25/2025
POSITION TITLE: Biological Science Technician (Wildlife)
TYPE OF POSITION: 13 Month Term Appoin...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
15,0578b92b-7dd4-42b7-963f-5113756a6baa,1,Unknown Discipline,M.S. Assistantship in Wildlife Ecology and Management – Ecology of wild turkeys in the Piedmont of Georgia,University of Georgia (State),"Athens , Georgia","$32,000 per year",between 9/1/2025 and 1/1/2026,"M.S. Assistantship in Wildlife Ecology and Management – Ecology of wild turkeys in the Piedmont of Georgia
University of Georgia (State)
Details
Application Deadline:
09/01/2025
Published:
07/18/2025
Starting Date:
between 9/1/2025 and 1/1/2026
Hours per Week:
at least 20
Salary:
$32,000 per year
Education Required:
Bachelors
Experience Required:
none
Location:
Athens , Georgia
Tags:
Graduate Opportunities
Description
The Wild Turkey Lab (www.wildturkeylab.com) at the University of Georgia’s War...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
16,6ec51a17-6847-452c-a003-5a6378b2d4b4,1,Unknown Discipline,Research Coordinator,Oregon Department of State Lands (State),"North Bend, Oregon","$6,122 to $10,063 per month",after 9/2/2025,"Research Coordinator
Oregon Department of State Lands (State) | https://www.oregon.gov/dsl/pages/default.aspx
Details
Posting:
https://oregon.wd5.myworkdayjobs.com/SOR_External_Career_Site/job/North-Bend--DSL--Shutter-Creek/Research-Coordinator_REQ-183603-1
Application Deadline:
07/27/2025
Published:
07/22/2025
Starting Date:
after 9/2/2025
Hours per Week:
40
Salary:
$6,122 to $10,063 per month
Education Required:
High School Diploma
Experience Required:
at least 2 years
Location:
North Bend, Or...",False,0.9,Professional,Unknown,0.0,University of Oregon,True,,,,,,,
17,a781b15d-d33d-4263-95ff-86af3459e956,1,Unknown Discipline,Breeding Behavior Technician - Red Wolf,Wolf Conservation Center (Private),remote work allowed,starting at $15 per hour,after 8/4/2025,"Breeding Behavior Technician - Red Wolf
Wolf Conservation Center (Private) | https://www.nywolf.org
Details
Application Deadline:
08/10/2025
Published:
07/22/2025
Starting Date:
after 8/4/2025
Ending Date:
before 10/30/2025
Hours per Week:
at least 20
Salary:
starting at $15 per hour
Education Required:
Some Undergraduate
Experience Required:
none
Location:
remote work allowed
Description
The Wolf Conservation Center (WCC) is seeking one to two part-time technicians to support a behavioral resea...",False,0.85,Professional,Unknown,0.0,,False,,,,,,,
18,522220df-948d-4697-b648-5b1a9bce7d20,1,Unknown Discipline,"Administrative Historian- John Day Fossil Beds Mitchell, OR",THE GREAT BASIN INSITUTE (Private),"John Day Fossil Beds National Monument (Mitchell, Oregon)",$35 per hour,between 9/1/2025 and 9/30/2025,"Administrative Historian- John Day Fossil Beds Mitchell, OR
THE GREAT BASIN INSITUTE (Private) | https://www.thegreatbasininstitute.org/employment/
Details
Posting:
https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=268940&clientkey=A1ADEF5691B02D64E998539442696918
Application Deadline:
08/30/2025
Published:
07/24/2025
Starting Date:
between 9/1/2025 and 9/30/2025
Ending Date:
3/30/2026
Hours per Week:
40
Salary:
$35 per hour
Education Required:
Bachelors
Experience Required:
at...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
19,ea86a371-49b8-4f17-8ca9-d2eb31ceb4a8,1,Unknown Discipline,Wildlife Specialist,"US Department of Agriculture, APHIS, Wildlife Services (Federal)","Madison, Wisconsin","$36,825 to $58,445 per year",after 7/21/2025,"Wildlife Specialist
US Department of Agriculture, APHIS, Wildlife Services (Federal)
Details
Application Deadline:
07/26/2025
Published:
07/21/2025
Starting Date:
after 7/21/2025
Ending Date:
before 7/25/2025
Hours per Week:
40
Salary:
$36,825 to $58,445 per year
Education Required:
Bachelors
Experience Required:
none
Location:
Madison, Wisconsin
Description
             VACANCY ANNOUNCEMENT
 OPEN DATE:                                    July 21, 2025  
 CLOSING DATE:                            ...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
20,68b47f71-eef9-4627-97c7-37525d9a3927,1,Unknown Discipline,Ohio Eminent Scholar in Ecology,"Department of Biology, Miami University, Ohio (State)","700 East High Street (Oxford, Ohio)",Commensurate / Negotiable,after 8/17/2026,"Ohio Eminent Scholar in Ecology
Department of Biology, Miami University, Ohio (State) | https://www.miamioh.edu/biology
Details
Posting:
https://miamioh.wd5.myworkdayjobs.com/en-US/miamioh-faculty/job/Associate-or-Full-Professor---Ohio-Eminent-Scholar-in-Ecology_JR102594?locations=c79d26910af9100520ff556aa0a00000
Application Deadline:
12/01/2025
Published:
07/18/2025
Starting Date:
after 8/17/2026
Hours per Week:
at least 40
Salary:
Commensurate / Negotiable
Education Required:
Doctorate
Experie...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
21,3ebf1e7c-50fa-42cc-8e21-0bf70e3a04f4,1,Unknown Discipline,Research Technician III (Amphibian Disease),University of Tennessee (State),"2431 Joe Johnson Drive (Knoxville, Tennessee)",$14 to $20 per hour,after 9/1/2025,"Research Technician III (Amphibian Disease)
University of Tennessee (State) | https://naturalresources.tennessee.edu
Details
Posting:
https://fa-ewlq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/3887/?utm_medium=jobshare&utm_source=External+Job+Share
Application Deadline:
08/15/2025
Published:
07/18/2025
Starting Date:
after 9/1/2025
Ending Date:
after 12/31/2026
Hours per Week:
30 - 40
Salary:
$14 to $20 per hour
Education Required:
Bachelors
Experience Require...",False,0.85,Professional,Unknown,0.0,,False,,,,,,,
22,431b0c76-6011-404c-b4ab-a7308a672043,1,Unknown Discipline,USDA-ARS Postdoctoral Research in Molecular Biology,Oak Ridge Associated Universities (ORAU) (Private),"Peoria, Illinois",Commensurate / Negotiable,after 8/30/2025,"USDA-ARS Postdoctoral Research in Molecular Biology
Oak Ridge Associated Universities (ORAU) (Private) | https://orise.orau.gov/index.html
Details
Posting:
https://www.zintellect.com/Opportunity/Details/USDA-ARS-MWA-2025-0072
Application Deadline:
09/12/2025
Published:
07/24/2025
Starting Date:
after 8/30/2025
Hours per Week:
at least 40
Salary:
Commensurate / Negotiable
Education Required:
Masters
Experience Required:
at least 2 years
Location:
Peoria, Illinois
Tags:
Faculty / Post-Doc Appointm...",True,0.95,Graduate,Unknown,0.0,,False,,,,,,,
23,095646df-d598-47e3-93a0-0e2b60f18ede,1,Unknown Discipline,Southwest Climate Adaptation Science Center Invasive Species Research Fellow,Oak Ridge Associated Universities (ORAU) (Private),multiple,Commensurate / Negotiable,after 8/15/2025,"Southwest Climate Adaptation Science Center Invasive Species Research Fellow
Oak Ridge Associated Universities (ORAU) (Private) | https://orise.orau.gov/index.html
Details
Posting:
https://www.zintellect.com/Opportunity/Details/DOI-USGS-2025-17
Application Deadline:
09/30/2025
Published:
07/24/2025
Starting Date:
after 8/15/2025
Hours per Week:
at least 20
Salary:
Commensurate / Negotiable
Education Required:
Masters
Experience Required:
at least 2 years
Locations:
San Diego, California
Tucson, ...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
24,9763246d-6046-4688-af2d-804f313cec6a,1,Unknown Discipline,Harte Research Institute Endowed Chair for Ecosystem Science & Modeling,"Harte Research Institute, Texas A&M University-Corpus Christi (State)","6300 Ocean Drive (Corpus Christi, Texas)",Commensurate / Negotiable,after 1/1/2026,"Harte Research Institute Endowed Chair for Ecosystem Science & Modeling
Harte Research Institute, Texas A&M University-Corpus Christi (State)
Details
Posting:
https://tamus.wd1.myworkdayjobs.com/en-US/TAMUCC_External/details/Harte-Research-Institute-Endowed-Chair-Position-in-Ecosystem-Science---Modeling_R-085743
Application Deadline:
08/31/2025
Published:
07/24/2025
Starting Date:
after 1/1/2026
Hours per Week:
at least 40
Salary:
Commensurate / Negotiable
Education Required:
Doctorate
Experienc...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
25,ccfe53bf-9d07-47fb-9218-0e5a4cea289d,1,Unknown Discipline,Seasonal Naturalist,City of Houston: Lake Houston Wilderness Park (City),"25840 FM-1485 (New Caney, Texas 77357, Texas)",$13.50 per hour,between 9/15/2025 and 10/31/2025,"Seasonal Naturalist
City of Houston: Lake Houston Wilderness Park (City) | https://www.houstontx.gov/parks/lakehoustonpark.html
Details
Application Deadline:
09/15/2025
Published:
07/21/2025
Starting Date:
between 9/15/2025 and 10/31/2025
Ending Date:
between 3/15/2026 and 4/30/2026
Hours per Week:
40
Salary:
$13.50 per hour
Education Required:
Bachelors
Experience Required:
none
Location:
25840 FM-1485 (New Caney, Texas 77357, Texas)
Tags:
Graduate Opportunities
Undergraduate Opportunities
Desc...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
26,295d9274-f3c9-49d9-84f1-5cb0b7f7ae5e,1,Unknown Discipline,Research Assistant – Bibliographic Resources,A.I.S. Inc. (Private),remote work allowed,Commensurate / Negotiable,after 10/1/2025,"Research Assistant – Bibliographic Resources
A.I.S. Inc. (Private) | https://aisobservers.com/careers/
Details
Posting:
https://aisobservers.com/careers
Application Deadline:
09/30/2025
Published:
07/18/2025
Starting Date:
after 10/1/2025
Hours per Week:
40 - 60
Salary:
Commensurate / Negotiable
Education Required:
Masters
Experience Required:
none
Location:
remote work allowed
Tags:
Faculty / Post-Doc Appointments
Description
A.I.S., Inc. (AIS) is a national scientific services firm supporting ...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
27,f82e0e3e-d6af-4946-83ff-66560e6a676b,1,Unknown Discipline,Wildlife Monitoring Technician – Fall Position,Iowa State University (State),multiple,$14 to $18 per hour,before 8/18/2025,"Wildlife Monitoring Technician – Fall Position
Iowa State University (State)
Details
Application Deadline:
08/10/2025
Published:
07/24/2025
Starting Date:
before 8/18/2025
Ending Date:
10/17/2025
Hours per Week:
40
Salary:
$14 to $18 per hour
Education Required:
Bachelors
Experience Required:
none
Locations:
1436 255th St, Boone, IA 50036, USA (Boone, Iowa)
16510 118th Ave, Indianola, IA 50125, USA (Indianola, Iowa)
Description
Wildlife monitoring technician (1-2) is needed to help with Iowa’s M...",False,0.85,Professional,Unknown,0.0,University of Iowa,True,,,,,,,
28,3613ae3a-9b88-42ed-9123-e7dd39a953e3,1,Unknown Discipline,Quantitative Fish Ecologist - Fish & Wildlife Research Scientist 1 - Non-Permanent - *05048-25,Washington Department of Fish & Wildlife (State),"Olympia, Washington","$6,414 to $8,626 per month",after 9/1/2025,"Quantitative Fish Ecologist - Fish & Wildlife Research Scientist 1 - Non-Permanent - *05048-25
Washington Department of Fish & Wildlife (State) | https://wdfw.wa.gov/
Details
Posting:
https://www.governmentjobs.com/careers/washington/jobs/5015076/quantitative-fish-ecologist-fish-wildlife-research-scientist-1-non-permanen
Application Deadline:
08/05/2025
Published:
07/28/2025
Starting Date:
after 9/1/2025
Ending Date:
before 3/31/2026
Hours per Week:
at least 40
Salary:
$6,414 to $8,626 per month...",False,0.9,Professional,Unknown,0.0,University of Washington,True,,,,,,,
29,1d48d08a-a86d-4ad4-bb23-21979af34f74,1,Unknown Discipline,"TX Coordinating Wildlife Biologist I, II, or III - Benavides",Pheasants Forever and Quail Forever (Federal),"Benavides, Texas","$45,000 to $60,000 per year",after 8/1/2025,"TX Coordinating Wildlife Biologist I, II, or III - Benavides
Pheasants Forever and Quail Forever (Federal) | http://www.pheasantsforever.org
Details
Posting:
https://www.quailforever.org/jobs
Application Deadline:
08/18/2025
Published:
07/18/2025
Starting Date:
after 8/1/2025
Hours per Week:
at least 40
Salary:
$45,000 to $60,000 per year
Education Required:
Bachelors
Experience Required:
at least 1 year
Location:
Benavides, Texas
Description
Location: USDA Service Center – Benavides, TX
Applica...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
30,67414db3-0e95-4ac7-ab25-9f8b368f45a3,1,Unknown Discipline,"TX Coordinating Wildlife Biologist I, II, or III - Edna",Pheasants Forever and Quail Forever (Federal),"Edna, Texas","$45,000 to $60,000 per year",after 8/1/2025,"TX Coordinating Wildlife Biologist I, II, or III - Edna
Pheasants Forever and Quail Forever (Federal) | http://www.pheasantsforever.org
Details
Posting:
https://www.quailforever.org/jobs
Application Deadline:
08/18/2025
Published:
07/18/2025
Starting Date:
after 8/1/2025
Hours per Week:
at least 40
Salary:
$45,000 to $60,000 per year
Education Required:
Bachelors
Experience Required:
at least 1 year
Location:
Edna, Texas
Description
Location: USDA Service Center – Edna, TX
Application Deadline: ...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
31,e98775ee-5b08-4952-8898-c64c78a9cf3f,1,Unknown Discipline,Game Management Assistant,North Dakota Game and Fish Department (State),"Bismarck, North Dakota",starting at $18.75 per hour,after 9/1/2025,"Game Management Assistant
North Dakota Game and Fish Department (State) | https://gf.nd.gov/
Details
Posting:
https://gf.nd.gov/jobs/8496
Application Deadline:
08/03/2025
Published:
07/18/2025
Starting Date:
after 9/1/2025
Ending Date:
between 12/31/2025 and 2/28/2026
Hours per Week:
at least 40
Salary:
starting at $18.75 per hour
Education Required:
Bachelors
Experience Required:
none
Location:
Bismarck, North Dakota
Tags:
Undergraduate Opportunities
Description
Job Duration:
Position is genera...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
32,4b817daa-d637-47cc-aa53-0e3ed9d0835b,1,Unknown Discipline,GRADUATE ASSISTANTSHIP (Ph.D.) at University of North Texas,"University of North Texas, Department of Biological Sciences (State)","Denton for course work; near Harlingen for fieldwork, Texas","$24,200 to $26,600 per year",between 12/15/2025 and 1/15/2026,"GRADUATE ASSISTANTSHIP (Ph.D.) at University of North Texas
University of North Texas, Department of Biological Sciences (State) | https://biology.unt.edu/index.html
Details
Posting:
https://biology.unt.edu/graduate-programs/index.html
Application Deadline:
09/01/2025
Published:
08/01/2025
Starting Date:
between 12/15/2025 and 1/15/2026
Hours per Week:
20 - 60
Salary:
$24,200 to $26,600 per year
Education Required:
Bachelors
Experience Required:
at least 3 years
Location:
Denton for course work;...",True,0.95,Graduate,Unknown,0.0,,False,,,,,,,
33,4fe64e7e-840a-4920-aec0-07cec573cfb8,1,Unknown Discipline,Environmental Education and Science Communication Fellows - Masters Degree,University of Idaho - McCall Outdoor Science School (State),"McCall, Idaho",none,8/13/2025,"Environmental Education and Science Communication Fellows - Masters Degree
University of Idaho - McCall Outdoor Science School (State) | https://www.uidaho.edu/cnr/mccall-field-campus/programs-and-services/graduate-program
Details
Application Deadline:
08/11/2025
Published:
07/29/2025
Starting Date:
8/13/2025
Ending Date:
5/7/2026
Hours per Week:
30 - 50
Salary:
none
Education Required:
Bachelors
Experience Required:
none
Location:
McCall, Idaho
Tags:
Graduate Opportunities
Description
Fellows i...",True,0.95,Graduate,Unknown,0.0,,False,,,,,,,
34,68b454c1-456f-4476-9d1f-3b2ab3f1ec8c,1,Unknown Discipline,USDA-ARS Lactation Physiology Fellowship,Oak Ridge Associated Universities (ORAU) (Private),"Ames, Iowa",Commensurate / Negotiable,after 8/1/2025,"USDA-ARS Lactation Physiology Fellowship
Oak Ridge Associated Universities (ORAU) (Private) | https://orise.orau.gov/index.html
Details
Posting:
https://www.zintellect.com/Opportunity/Details/USDA-ARS-MWA-2025-0079
Application Deadline:
09/26/2025
Published:
07/29/2025
Starting Date:
after 8/1/2025
Hours per Week:
at least 40
Salary:
Commensurate / Negotiable
Education Required:
Doctorate
Experience Required:
at least 2 years
Location:
Ames, Iowa
Tags:
Faculty / Post-Doc Appointments
Description...",False,0.9,Professional,Unknown,0.0,,False,,,,,,,
35,35652c0b-9333-4441-89e2-f024a2546309,1,Unknown Discipline,Energy Program Coordinator,Oregon Department of Fish and Wildlife (State),"Salem, Oregon","$6,123 to $9,409 per month",after 8/18/2025,"Energy Program Coordinator
Oregon Department of Fish and Wildlife (State) | https://www.dfw.state.or.us/
Details
Posting:
https://oregon.wd5.myworkdayjobs.com/SOR_External_Career_Site/job/Salem--ODFW--Headquarters/Natural-Resource-Specialist-4--Energy-Program-Coordinator-_REQ-184379
Application Deadline:
08/08/2025
Published:
07/28/2025
Starting Date:
after 8/18/2025
Hours per Week:
at least 40
Salary:
$6,123 to $9,409 per month
Education Required:
Bachelors
Experience Required:
at least 5 years...",False,0.9,Professional,Unknown,0.0,University of Oregon,True,,,,,,,
